model,exposure_type,name,weight
tucker,industry,G56航空运输业,0.17083333333333334
tucker,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.15833333333333333
tucker,industry,C27医药制造业,0.15416666666666667
tucker,industry,D44电力、热力生产和供应业,0.15416666666666667
tucker,industry,C39计算机、通信和其他电子设备制造业,0.14583333333333334
tucker,industry,J67资本市场服务,0.125
tucker,industry,C26化学原料和化学制品制造业,0.04583333333333333
tucker,industry,K70房地产业,0.04583333333333333
tucker,style,value_factor,0.6083333333333333
tucker,style,momentum_factor,0.30416666666666664
tucker,style,quality_factor,0.0875
