trade_date,model,cumulative_nav,drawdown
2023-10-25,tucker,1.0107013390094568,0.0
2023-10-26,tucker,1.0139553875207614,0.0
2023-10-27,tucker,1.0061501539708648,-0.007697807660928091
2023-10-30,tucker,1.0083800487548262,-0.005498603621573062
2023-10-31,tucker,1.004289005833935,-0.009533340229555654
2023-11-01,tucker,1.001958034107005,-0.011832230058061444
2023-11-02,tucker,1.0035372957045137,-0.010274704335583418
2023-11-03,tucker,0.9989141283871898,-0.014834241544245064
2023-11-06,tucker,0.987297957155832,-0.026290535750404076
2023-11-07,tucker,0.9835079343145896,-0.030028395312952982
2023-11-08,tucker,0.9846137180798322,-0.02893783079813106
2023-11-09,tucker,0.9789213061771369,-0.0345518962419904
2023-11-10,tucker,0.9769168799064585,-0.03652873496226139
2023-11-13,tucker,0.9783302884841849,-0.03513477957219002
2023-11-14,tucker,0.983068503291738,-0.030461778308161547
2023-11-15,tucker,0.9800379171824368,-0.0334506535058281
2023-11-16,tucker,0.989128792085689,-0.02448489917862784
2023-11-17,tucker,0.9998163571649724,-0.013944430425445575
2023-11-20,tucker,0.9967541903202336,-0.016964451702936145
2023-11-21,tucker,0.9820863708659441,-0.031430393335885154
2023-11-22,tucker,0.9603003609192758,-0.05291655556234909
2023-11-23,tucker,0.9323587549729383,-0.08047359238095908
2023-11-24,tucker,0.9048833971862483,-0.10757079816026893
2023-11-27,tucker,0.8835807258973957,-0.12858027407117678
2023-11-28,tucker,0.8518558779697393,-0.15986848291952394
2023-11-29,tucker,0.8326658694994133,-0.17879437325602854
2023-11-30,tucker,0.8135044034982177,-0.19769211396239983
2023-12-01,tucker,0.7979902664935105,-0.21299272501062472
2023-12-04,tucker,0.7818575485071276,-0.22890340331554426
2023-12-05,tucker,0.7896912596692426,-0.22117750998874874
2023-12-06,tucker,0.7805708346690071,-0.23017240770563552
2023-12-07,tucker,0.7641150773151898,-0.24640167928537782
2023-12-08,tucker,0.7479053177895711,-0.26238833878255097
2023-12-11,tucker,0.7270528711593434,-0.2829537866186874
2023-12-12,tucker,0.6956527788400603,-0.3139217095724378
2023-12-13,tucker,0.6689585896148793,-0.34024849825931625
2023-12-14,tucker,0.6551159360053144,-0.35390063106509173
2023-12-15,tucker,0.6419283800237228,-0.366906682557985
2023-12-18,tucker,0.6364035051730143,-0.37235551681509904
2023-12-19,tucker,0.6259171944126292,-0.3826975011759942
2023-12-20,tucker,0.6210152176613154,-0.38753201047654606
2023-12-21,tucker,0.629225896738278,-0.37943433756310685
2023-12-22,tucker,0.6339993146704748,-0.37472661768613247
2023-12-25,tucker,0.6339993146704748,-0.37472661768613247
2023-12-26,tucker,0.6339993146704748,-0.37472661768613247
2023-12-27,tucker,0.6339993146704748,-0.37472661768613247
2023-12-28,tucker,0.6339993146704748,-0.37472661768613247
2023-12-29,tucker,0.6339993146704748,-0.37472661768613247
