trade_date,model,top_n,daily_return,cumulative_nav,turnover,drawdown
2021-10-27,pca,20,0.007419263964858563,1.0074192639648585,1.0,0.0
2021-10-28,pca,20,-0.008797301603488055,0.9985566928585957,0.15000000000000002,-0.008797301603488017
2021-10-29,pca,20,-0.037043580909977274,0.961566577213489,0.15000000000000002,-0.04551499895972699
2021-11-01,pca,20,0.02183525674848752,0.9825626303077101,0.25,-0.024673573899432033
2021-11-02,pca,20,0.02823209096469793,1.0103024278650703,0.30000000000000004,0.0
2021-11-03,pca,20,0.03598878525962203,1.0466619849887813,0.25,0.0
2021-11-04,pca,20,0.0261190106599908,1.0739997605321105,0.15000000000000002,0.0
2021-11-05,pca,20,0.03355338608933709,1.1100360891571,0.25,0.0
2021-11-08,pca,20,0.00022540203144184035,1.1102862935465696,0.19999999999999996,0.0
2021-11-09,pca,20,-0.005734367769121035,1.1039195036103593,0.30000000000000004,-0.005734367769121063
2021-11-10,pca,20,0.009921531921580929,1.1148720762042852,0.09999999999999998,0.0
2021-11-11,pca,20,0.0585474307810672,1.1801449719156003,0.30000000000000004,0.0
2021-11-12,pca,20,0.02130237508636988,1.2052848627636399,0.25,0.0
2021-11-15,pca,20,0.020988681272190973,1.2305822025903823,0.15000000000000002,0.0
2021-11-16,pca,20,0.02463611002502326,1.2608989611282344,0.15000000000000002,0.0
2021-11-17,pca,20,0.035971293555458125,1.3062551278027503,0.15000000000000002,0.0
2021-11-18,pca,20,0.04589717779948674,1.3662085516550044,0.09999999999999998,0.0
2021-11-19,pca,20,0.024448001343093252,1.3996096201608115,0.15000000000000002,0.0
2021-11-22,pca,20,0.0217851719283021,1.4301003563685204,0.09999999999999998,0.0
2021-11-23,pca,20,0.01565743479159661,1.4524920594437996,0.15000000000000002,0.0
2021-11-24,pca,20,0.008319300082170845,1.4645757767532828,0.19999999999999996,0.0
2021-11-25,pca,20,-0.014092202709008883,1.4439366780245713,0.19999999999999996,-0.014092202709008905
2021-11-26,pca,20,-0.00038871045588617095,1.4433754047401857,0.19999999999999996,-0.014475435378355606
2021-11-29,pca,20,-0.03517044724406597,1.3926112462143887,0.19999999999999996,-0.04913677508611214
2021-11-30,pca,20,-0.032939030834310656,1.346739981435125,0.15000000000000002,-0.08045728817076281
2021-12-01,pca,20,-0.001970148620830142,1.344086703518084,0.09999999999999998,-0.08226892397626762
2021-12-02,pca,20,0.025296588715442242,1.3780875120548752,0.15000000000000002,-0.0590534583947151
2021-12-03,pca,20,0.006090506571791415,1.386480763103549,0.19999999999999996,-0.05332261729936383
2021-12-06,pca,20,0.05827119533021489,1.4672726544719412,0.09999999999999998,0.0
2021-12-07,pca,20,0.06533875671485703,1.563142425476846,0.09999999999999998,0.0
2021-12-08,pca,20,0.06770382070557615,1.6689731399886099,0.15000000000000002,0.0
2021-12-09,pca,20,0.06381753654182434,1.7754828943371563,0.050000000000000044,0.0
2021-12-10,pca,20,0.08758130080428275,1.9309819957789573,0.09999999999999998,0.0
2021-12-13,pca,20,0.0511273412922759,2.0297079713063884,0.15000000000000002,0.0
2021-12-14,pca,20,0.06662964506842697,2.16494669302709,0.09999999999999998,0.0
2021-12-15,pca,20,0.045823990746476514,2.2641531902549783,0.15000000000000002,0.0
2021-12-16,pca,20,0.03599562073578837,2.3456527897791215,0.09999999999999998,0.0
2021-12-17,pca,20,0.016746512525882655,2.384934293604529,0.15000000000000002,0.0
2021-12-20,pca,20,0.03574029129044841,2.4701725399665344,0.09999999999999998,0.0
2021-12-21,pca,20,-0.015186163853363804,2.4326600950285227,0.050000000000000044,-0.015186163853363799
2021-12-22,pca,20,-0.022773266127466375,2.3772604792867704,0.15000000000000002,-0.03761359142994225
2021-12-23,pca,20,-0.012939762720731052,2.3464992927594284,0.19999999999999996,-0.05006664320249532
2021-12-24,pca,20,-0.004335031705734832,2.336327143927832,0.09999999999999998,-0.054184634422547506
2021-12-27,pca,20,0.009027825320604865,2.357419097275,0.15000000000000002,-0.04564597851657026
2021-12-28,pca,20,-0.008452629179017578,2.3374927078262004,0.15000000000000002,-0.05371277916567374
2021-12-29,pca,20,0.011439762625308875,2.3642330695421228,0.19999999999999996,-0.04288747798396586
2021-12-30,pca,20,-0.028675080098722168,2.2964384969009544,0.15000000000000002,-0.07033275621626567
2021-12-31,pca,20,-0.029539445222664447,2.2286029777145306,0.25,-0.09779461083932073
