model,exposure_type,name,weight
pca,industry,J66货币金融服务,0.38333333333333336
pca,industry,C31黑色金属冶炼和压延加工业,0.125
pca,industry,D44电力、热力生产和供应业,0.1
pca,industry,C39计算机、通信和其他电子设备制造业,0.07916666666666666
pca,industry,G55水上运输业,0.07916666666666666
pca,industry,J67资本市场服务,0.07083333333333333
pca,industry,C36汽车制造业,0.0625
pca,industry,B07石油和天然气开采业,0.05
pca,industry,I63电信、广播电视和卫星传输服务,0.020833333333333332
pca,industry,C32有色金属冶炼和压延加工业,0.0125
pca,industry,C38电气机械和器材制造业,0.0125
pca,industry,C35专用设备制造业,0.004166666666666667
pca,style,value_factor,0.4875
pca,style,volatility_factor,0.3375
pca,style,momentum_factor,0.1375
pca,style,quality_factor,0.0375
