trade_date,model,cumulative_nav,drawdown
2017-10-24,cp,0.9977315308063118,-0.002268469193688172
2017-10-25,cp,0.998945179388242,-0.0010548206117579895
2017-10-26,cp,0.997503435189455,-0.0024965648105450544
2017-10-27,cp,1.0023491397061937,0.0
2017-10-30,cp,1.0144540784691676,0.0
2017-10-31,cp,1.0428079473454126,0.0
2017-11-01,cp,1.0718873535523947,0.0
2017-11-02,cp,1.1042130918258581,0.0
2017-11-03,cp,1.1347302747969392,0.0
2017-11-06,cp,1.1656143352245434,0.0
2017-11-07,cp,1.1863565094495538,0.0
2017-11-08,cp,1.1902097722647635,0.0
2017-11-09,cp,1.176543363163891,-0.01148235329547631
2017-11-10,cp,1.1772196641397081,-0.01091413331310287
2017-11-13,cp,1.1631215267471788,-0.02275921955004656
2017-11-14,cp,1.1887126772042125,-0.0012578413448096626
2017-11-15,cp,1.2618563314528588,0.0
2017-11-16,cp,1.3363866593605602,0.0
2017-11-17,cp,1.3805984905000852,0.0
2017-11-20,cp,1.438702484881062,0.0
2017-11-21,cp,1.4470548975220199,0.0
2017-11-22,cp,1.4283226046196429,-0.012945115582314592
2017-11-23,cp,1.4283121497200293,-0.012952340532543904
2017-11-24,cp,1.4142009915479368,-0.022703980360622933
2017-11-27,cp,1.3967341520755927,-0.034774593232501316
2017-11-28,cp,1.4152049043947943,-0.022010217567948853
2017-11-29,cp,1.3923108289470756,-0.037831369541466375
2017-11-30,cp,1.3542002999962282,-0.0641679853921221
2017-12-01,cp,1.3275058178550474,-0.08261544179954183
2017-12-04,cp,1.309146928621318,-0.0953025134961083
2017-12-05,cp,1.2513903395313266,-0.1352157118059274
2017-12-06,cp,1.225258724207407,-0.1532741941542255
2017-12-07,cp,1.205808231954153,-0.16671562770768744
2017-12-08,cp,1.1731729386488925,-0.18926853386290388
2017-12-11,cp,1.143670539790666,-0.20965642578652577
2017-12-12,cp,1.1444885178829807,-0.20909115483950402
2017-12-13,cp,1.128714838039168,-0.2199916948748709
2017-12-14,cp,1.1301514675605338,-0.2189988994226557
2017-12-15,cp,1.143563162082155,-0.20973063009535664
2017-12-18,cp,1.145229354563005,-0.20857919314316964
2017-12-19,cp,1.1440076847002625,-0.20942343883477021
2017-12-20,cp,1.1501048096533104,-0.20520996706981587
2017-12-21,cp,1.1558834236743407,-0.20121660508270278
2017-12-22,cp,1.1615992040974663,-0.19726666480544475
2017-12-25,cp,1.1615992040974663,-0.19726666480544475
2017-12-26,cp,1.1615992040974663,-0.19726666480544475
2017-12-27,cp,1.1615992040974663,-0.19726666480544475
2017-12-28,cp,1.1615992040974663,-0.19726666480544475
2017-12-29,cp,1.1615992040974663,-0.19726666480544475
