trade_date,model,cumulative_nav,drawdown
2016-10-25,pca,1.0052083445759232,0.0
2016-10-26,pca,1.0143007904127859,0.0
2016-10-27,pca,1.0245933137942482,0.0
2016-10-28,pca,1.037601096922889,0.0
2016-10-31,pca,1.0425637139396975,0.0
2016-11-01,pca,1.0370967260592698,-0.005243792592558916
2016-11-02,pca,1.0315635517185224,-0.010551069516516187
2016-11-03,pca,1.0379980572952978,-0.004379259112276879
2016-11-04,pca,1.0420536005669425,-0.0004892874804047764
2016-11-07,pca,1.0844888862299629,0.0
2016-11-08,pca,1.128625170947449,0.0
2016-11-09,pca,1.174410912819561,0.0
2016-11-10,pca,1.2050051047160408,0.0
2016-11-11,pca,1.239328017716814,0.0
2016-11-14,pca,1.2828512811155235,0.0
2016-11-15,pca,1.3243539892780125,0.0
2016-11-16,pca,1.3604630539294087,0.0
2016-11-17,pca,1.4019792586462165,0.0
2016-11-18,pca,1.5345968043078815,0.0
2016-11-21,pca,1.6514889324933282,0.0
2016-11-22,pca,1.7326177924072392,0.0
2016-11-23,pca,1.8005264202439837,0.0
2016-11-24,pca,1.8666448546777965,0.0
2016-11-25,pca,1.8926764194203267,0.0
2016-11-28,pca,1.924766086454862,0.0
2016-11-29,pca,1.981509383562202,0.0
2016-11-30,pca,2.0507234968251393,0.0
2016-12-01,pca,2.072818189615264,0.0
2016-12-02,pca,2.0747309700184013,0.0
2016-12-05,pca,2.0028835446332627,-0.0346297550975978
2016-12-06,pca,1.9190870910091924,-0.07501882473361277
2016-12-07,pca,1.8081298878065506,-0.12849910955418287
2016-12-08,pca,1.7159604511914317,-0.17292387495608053
2016-12-09,pca,1.6683667883678572,-0.195863554129594
2016-12-12,pca,1.6764027547082332,-0.1919902970873546
2016-12-13,pca,1.683485438821282,-0.1885765127387331
2016-12-14,pca,1.7136564836946586,-0.17403436471599032
2016-12-15,pca,1.7480097471102853,-0.15747642833191922
2016-12-16,pca,1.7507380108976522,-0.15616143191706222
2016-12-19,pca,1.7516331149297244,-0.1557300005435458
2016-12-20,pca,1.7538904036287988,-0.15464200950678297
2016-12-21,pca,1.744974714303093,-0.15893928440870753
2016-12-22,pca,1.724314312590491,-0.16889739561018957
2016-12-23,pca,1.7326606554056412,-0.16487454014807823
2016-12-26,pca,1.7326606554056412,-0.16487454014807823
2016-12-27,pca,1.7326606554056412,-0.16487454014807823
2016-12-28,pca,1.7326606554056412,-0.16487454014807823
2016-12-29,pca,1.7326606554056412,-0.16487454014807823
2016-12-30,pca,1.7326606554056412,-0.16487454014807823
